vencimento,data_de_competencia,cobranca_extraordinaria,valor,unidade,bloco,nosso_numero,complemento,conta_categoria
"30/12/2001","30/11/2001","","50","","","","15/0","1.20"
"08/01/2002","08/12/2001","","50","","","120891","14/0","1.20"
"30/01/2002","30/12/2001","","50","","","","16/0","1.20"
"28/02/2002","28/01/2002","","50","","","","17/0","1.20"
"30/03/2002","28/02/2002","","50","","","","18/0","1.20"
"30/04/2002","30/03/2002","","50","","","","19/0","1.20"
"30/05/2002","30/04/2002","","50","","","","20/0","1.20"
"30/06/2002","30/05/2002","","2000","","","","21/0","1.20"
"15/07/2016","15/06/2016",1,"1328.35","13","","1168243","","1.2"
"18/06/2017","18/05/2017",1,"1462.45","13","","1217280","","1.2"
"15/11/2018","15/10/2018",1,"1638.54","22","","1299074","","1.2"
"15/08/2018","15/07/2018",1,"1248.87","25","","1283768","","1.2"
"19/01/2019","19/12/2018",1,"1302.61","25","","1308841","","1.2"
"20/02/2019","20/01/2019",1,"1167.81","25","","1314027","","1.2"
"15/11/2018","15/10/2018",1,"1364.76","33","","1299079","","1.2"
"26/11/2009","26/10/2009",1,"715.95","34","","","1/6","1.20"
"30/07/2012","30/06/2012",1,"719.75","34","","554280","3/7","1.20"
"15/01/2016","15/12/2015",1,"1020.44","34","","585065","","1.2"
"15/02/2016","15/01/2016",1,"1042.32","34","","1098059","","1.2"
"15/03/2016","15/02/2016",1,"1007.54","34","","1150222","","1.2"
"15/04/2016","15/03/2016",1,"1026.67","34","","1101767","","1.2"
"15/05/2016","15/04/2016",1,"1028.07","34","","1105569","","1.2"
"15/06/2016","15/05/2016",1,"1068.82","34","","1164190","","1.2"
"15/07/2016","15/06/2016",1,"1074.49","34","","1168203","","1.2"
"15/08/2016","15/07/2016",1,"980.65","34","","1172452","","1.2"
"15/09/2016","15/08/2016",1,"1084.69","34","","1176771","","1.2"
"15/10/2016","15/09/2016",1,"1053.98","34","","1180899","","1.2"
"15/11/2016","15/10/2016",1,"1219.28","34","","1184334","","1.2"
"15/12/2016","15/11/2016",1,"1073.49","34","","1188910","","1.2"
"15/01/2017","15/12/2016",1,"1246.07","34","","1193385","","1.2"
"15/02/2017","15/01/2017",1,"1120.9","34","","1197955","","1.2"
"15/03/2017","15/02/2017",1,"1208.92","34","","1203161","","1.2"
"15/04/2017","15/03/2017",1,"1074.97","34","","1207061","","1.2"
"15/05/2017","15/04/2017",1,"1062.13","34","","1212512","","1.2"
"15/06/2017","15/05/2017",1,"1175.24","34","","1217245","","1.2"
"15/07/2017","15/06/2017",1,"1151.46","34","","1222125","","1.2"
"15/08/2017","15/07/2017",1,"1152.56","34","","1226663","","1.2"
"15/09/2017","15/08/2017",1,"1133.16","34","","1231217","","1.2"
"15/10/2017","15/09/2017",1,"1232.72","34","","1234853","","1.2"
"15/11/2017","15/10/2017",1,"1213.48","34","","1239711","","1.2"
"15/12/2017","15/11/2017",1,"1240.27","34","","1244025","","1.2"
"15/01/2018","15/12/2017",1,"1245.69","34","","1249475","","1.2"
"19/02/2018","19/01/2018",1,"1248.44","34","","1254697","","1.2"
"15/03/2018","15/02/2018",1,"1137.16","34","","1259166","","1.2"
